bucket	agent_id	window	trace_id/span_id	event_time	span_name	path_signature	expected_old_vs_new_label	residual_owner	source
preflip_1032_fake_working_preserve_rebroadcast	57fa54da-d127-4544-89fe-c3b4eb5f2613	2026-07-06T23:30:00Z..23:36:00Z	4415d827f739574df26322470081b286/e155b410b3bce712;l4=e67e6eb3edc74d041917bbe0c7972a30/d3719d17af520492	2026-07-06T23:30:00.388Z;l4=2026-07-06T23:32:26.128Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
preflip_1032_fake_working_preserve_rebroadcast	9e6bc1a6-8437-47af-a484-be6c878ef6c9	2026-07-06T23:30:00Z..23:36:00Z	bd419e0d2fa7c6a765085b236c027773/fbaf12ae8d33054e;l4=e67e6eb3edc74d041917bbe0c7972a30/fd88b8b6044bcd6a	2026-07-06T23:30:00.388Z;l4=2026-07-06T23:32:26.128Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
preflip_1032_fake_working_preserve_rebroadcast	79428083-6afc-4182-8d03-2a4a2fcde941	2026-07-06T23:30:00Z..23:36:00Z	a11309f5aeb106046b1993c66b43a498/b9517eec2fde9d24;l4=b9e4eae502520407c41ca14e2e7b410d/ec231070a967d153	2026-07-06T23:30:00.389Z;l4=2026-07-06T23:31:19.504Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
preflip_1032_fake_working_preserve_rebroadcast	3e960bff-c116-44c0-8837-67da668ade34	2026-07-06T23:30:00Z..23:36:00Z	d87774fe87a61f4b2dd35bf0e4d4d55f/d0881f1d29ba992b;l4=e67e6eb3edc74d041917bbe0c7972a30/06cf778e72b0431a	2026-07-06T23:30:00.389Z;l4=2026-07-06T23:32:26.128Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
preflip_1032_fake_working_preserve_rebroadcast	ad5cf7ff-0c6b-47e2-8387-1feac281f895	2026-07-06T23:30:00Z..23:36:00Z	c28ab494892aae2be009d8c5423f4623/2e98b57620092a7d;l4=cd10dbe0ad6fa317fe4720f9391b019b/f0341f1bc1e730d4	2026-07-06T23:30:00.389Z;l4=2026-07-06T23:32:09.47Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
preflip_1032_fake_working_preserve_rebroadcast	eac11c3f-a18e-4734-976b-e3cbcb4e4134	2026-07-06T23:30:00Z..23:36:00Z	35623edcdb7520f1cc20f7fb58ff3526/1c70120f465e97d9;l4=553bf1b427ea5456bf2081525c41260f/b5f17534717cbfb3	2026-07-06T23:30:00.39Z;l4=2026-07-06T23:32:22.503Z	server.agent.stale_activity.busy_preserved + server.agent.activity.resolve	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|repair=probe_timeout_busy_preserved|previous=working|l4=working/redis	old=visible fake Working via busy_preserved + L4 working/redis; new=preserve has no freshness authority and should resolve non-working unless #469 probe stock	#457/#458 replay input	pre-flip baseline: Manjusaka L4 join 1,032 visible fake-busy cases; paired preserve span + L4 resolve sample
resolve_race_authority_ordering	f2735549-efcb-4523-b5b1-c0aee2ef3e24	2026-07-06T23:47:00Z..23:53:00Z	048b2d7660ae4f75e6d0f5cdd3d1e791/877fa598c1b5a189	2026-07-06T23:47:01.553Z	server.machine.ready.reconcile	ready_online|synthetic_diagnostic|preserve|synthetic_no_authority|prior=unknown|projection=unknown|legacy=online|agree=null	old=LWW may let synthetic online/starting overwrite fresher activity; new=synthetic has no same-axis authority, fresh observed activity wins	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
resolve_race_authority_ordering	573f94ed-bfd2-4c58-a827-0f560ab642d3	2026-07-06T23:47:00Z..23:53:00Z	048b2d7660ae4f75e6d0f5cdd3d1e791/877fa598c1b5a189	2026-07-06T23:47:01.558Z	server.machine.ready.reconcile	ready_online|synthetic_diagnostic|preserve|synthetic_no_authority|prior=unknown|projection=unknown|legacy=online|agree=null	old=LWW may let synthetic online/starting overwrite fresher activity; new=synthetic has no same-axis authority, fresh observed activity wins	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
resolve_race_authority_ordering	839251d9-75b7-43ab-8c7a-5b343f10187c	2026-07-06T23:47:00Z..23:53:00Z	048b2d7660ae4f75e6d0f5cdd3d1e791/877fa598c1b5a189	2026-07-06T23:47:01.570Z	server.machine.ready.reconcile	ready_online|synthetic_diagnostic|preserve|synthetic_no_authority|prior=unknown|projection=unknown|legacy=online|agree=null	old=LWW may let synthetic online/starting overwrite fresher activity; new=synthetic has no same-axis authority, fresh observed activity wins	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
same_tick_priority_arbitration	89c4b876-6e6d-456b-be13-7b23948fd790	2026-07-06T23:47:00Z..23:53:00Z	b4a0dfddd4388d8964810447b801704b/870e639bbda13abc	2026-07-06T23:47:00.591Z	server.agent.activity.ingest	daemon_ingest|activity_assertion|arbitrate|same_tick_priority|prior=error|projection=error|legacy=working|agree=false	old=ordering-sensitive LWW; new=deterministic authority/same-tick arbitration	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
same_tick_priority_arbitration	89c4b876-6e6d-456b-be13-7b23948fd790	2026-07-06T23:47:00Z..23:53:00Z	bc91a256d64c3df29ecf346202918713/38e3c1fa9fc4c619	2026-07-06T23:47:00.591Z	server.agent.activity.ingest	daemon_ingest|runtime_lifecycle_observation|arbitrate|same_tick_priority|prior=thinking|projection=error|legacy=error|agree=true	old=ordering-sensitive LWW; new=deterministic authority/same-tick arbitration	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
same_tick_priority_arbitration	8db48687-ad71-4dcb-bbfa-ba6c6f8bd818	2026-07-06T23:47:00Z..23:53:00Z	15f4b05b18c90a9e99d595ca742717d9/c2b7b9f909499db1	2026-07-06T23:47:03.331Z	server.agent.activity.ingest	daemon_ingest|activity_assertion|arbitrate|same_tick_priority|prior=error|projection=error|legacy=working|agree=false	old=ordering-sensitive LWW; new=deterministic authority/same-tick arbitration	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
hint_resolution_replay_no_authority	6b4e4130-1bba-4c7d-87e8-57dffc116847	2026-07-06T23:47:00Z..23:53:00Z	182c04008fc4c86a3f881f8f665d76a0/16885b555623521c	2026-07-06T23:47:00.817Z	server.agent.activity_writer.shadow	hint_resolution|activity_replay|preserve|replayed_no_authority|prior=unknown|projection=unknown|legacy=online|agree=null	old=hint replay could refresh/serve stale activity as fact; new=replay is preserve/no-authority and cannot refresh observed clock	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
hint_resolution_replay_no_authority	d7ed7e76-f775-4bfe-9b8c-48aec758048c	2026-07-06T23:47:00Z..23:53:00Z	b30f418ac86455f2844dc4a324e12399/4ff8dfadb195a017	2026-07-06T23:47:00.817Z	server.agent.activity_writer.shadow	hint_resolution|activity_replay|preserve|replayed_no_authority|prior=unknown|projection=unknown|legacy=working|agree=null	old=hint replay could refresh/serve stale activity as fact; new=replay is preserve/no-authority and cannot refresh observed clock	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
hint_resolution_replay_no_authority	08d61d62-f3c3-4c90-a917-0b63b898bdf3	2026-07-06T23:47:00Z..23:53:00Z	11911236403cc1446de9b4d766455c2d/5c0a973e3cdfbe90	2026-07-06T23:47:00.817Z	server.agent.activity_writer.shadow	hint_resolution|activity_replay|preserve|replayed_no_authority|prior=unknown|projection=unknown|legacy=working|agree=null	old=hint replay could refresh/serve stale activity as fact; new=replay is preserve/no-authority and cannot refresh observed clock	#457/#458 resolver replay	post-flip exact-window replica-corrected OTLP
lifecycle_plan_synthetic_no_authority	f15afeb6-7f33-4025-a8ec-8f91d32a65ab	2026-07-06T23:47:00Z..23:53:00Z	740100365af68fce11cab7193f4a4d80/3e5505218496e43e	2026-07-06T23:47:02.278Z	server.machine.connection.disconnect_projection	lifecycle_plan|synthetic_diagnostic|preserve|synthetic_no_authority|prior=online|projection=online|legacy=offline|agree=false	old=plan write can move projection by wall-clock order; new=synthetic plan is visible but cannot defeat fresh observed same-axis activity	#457 resolver replay	post-flip exact-window replica-corrected OTLP
lifecycle_plan_synthetic_no_authority	b2b0a33d-c178-4d15-bf1c-8468dbe86ef6	2026-07-06T23:47:00Z..23:53:00Z	d71f357924aa062094726c88dabf16ea/29d1558f4838d5bb	2026-07-06T23:47:05.107Z	server.machine.ready.reconcile	lifecycle_plan|synthetic_diagnostic|preserve|synthetic_no_authority|prior=unknown|projection=unknown|legacy=offline|agree=null	old=plan write can move projection by wall-clock order; new=synthetic plan is visible but cannot defeat fresh observed same-axis activity	#457 resolver replay	post-flip exact-window replica-corrected OTLP
lifecycle_plan_synthetic_no_authority	2c9b0a8c-5cad-43f6-9992-7b5bef282d1c	2026-07-06T23:47:00Z..23:53:00Z	705b64e8212a4ece7909ecc66373b363/1eff0a34f5613d25	2026-07-06T23:47:06.823Z	server.machine.ready.reconcile	lifecycle_plan|synthetic_diagnostic|preserve|synthetic_no_authority|prior=unknown|projection=unknown|legacy=offline|agree=null	old=plan write can move projection by wall-clock order; new=synthetic plan is visible but cannot defeat fresh observed same-axis activity	#457 resolver replay	post-flip exact-window replica-corrected OTLP
residual_469_true_hung_runtime_probe_timeout	0d41df3c-f392-4874-9e6d-25204434557c	2026-07-06T23:47:00Z..23:53:00Z	7da70286e547ce743c63114162af90e6/942f1ddd8c61ebf8	2026-07-06T23:52:54.009Z..2026-07-06T23:52:54.009Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=1	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	12146e63-d4f5-4506-b7f3-a6cd2c067af4	2026-07-06T23:47:00Z..23:53:00Z	54ba3f9c8180588978a23248afb711e0/f9cefd5c4d928337	2026-07-06T23:51:34.537Z..2026-07-06T23:51:34.537Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=1	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	355966d0-6ac4-4e4f-b65b-e204053fa4be	2026-07-06T23:47:00Z..23:53:00Z	fb4a3a4016280c74ee6998e8107068da/c693a8e4ad340394	2026-07-06T23:52:45.666Z..2026-07-06T23:52:45.666Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=1	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	42146354-405a-4c8f-922a-7f8a865864e4	2026-07-06T23:47:00Z..23:53:00Z	a44476a872f9d0f919ac8604ce04a052/0b6b29c4ec5c4612	2026-07-06T23:52:17.091Z..2026-07-06T23:52:17.091Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=1	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:47:00Z..23:53:00Z	d30b3d9004fd45805fe05c1ec9de40c0/23cc78af580b3860;d2b52791eb3e1ba40077b62f99021395/bf1965743a6f0159;5cd4bedd8aabc64f7b9d457c850e193a/ba13ceed58c0455a;859ac92c5aa62aec3e8580680ae00d00/e19be27e8763d27e;0301baac0e9c07337e9ac70c5d080b7b/65fdd22b6200039c;560f9c8a15e679084abf43424e17102d/cbef4bae1d8d355d;cd7f888ec3f18a920383ddc99db7fb53/82c0bea71428d8dd;281c12f27fc38553e45f18becb5076f6/7185c35788876c55	2026-07-06T23:50:45.665Z..2026-07-06T23:47:54.85Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=8	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	741aecfc-b937-481e-990f-c65bd5aa0743	2026-07-06T23:47:00Z..23:53:00Z	b01c57ef8e7b006182e23d85ec938b0d/8d5159095a07e4a6;ba3f6d0ed370fbacd5673bf07c00a6c4/0ebb11283498c6cb	2026-07-06T23:52:32.878Z..2026-07-06T23:52:47.09Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=2	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	8c0a8d6b-1024-46e2-9652-a166d2069e71	2026-07-06T23:47:00Z..23:53:00Z	7597f4afdcd2600c625d183f2cde5f4d/83de95fbe2aff785;e31bb99a5303ca8a4a2fb90f8f77edda/9ac9dcf0cfa8ad91	2026-07-06T23:51:24.007Z..2026-07-06T23:52:54.009Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=2	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	aad64176-d17f-444f-acfa-6f03ecd9039e	2026-07-06T23:47:00Z..23:53:00Z	53f2c7403c27462d94c57bb58c17828b/0849bc5fad2c53c9	2026-07-06T23:52:34.535Z..2026-07-06T23:52:34.535Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=1	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	b6df54bc-3d70-41d4-b717-2e0db46e75cf	2026-07-06T23:47:00Z..23:53:00Z	8577cff69228cd045afda48027e883d1/958b606917272a45;0d05c959c98ed0380fa1085f9ae08afe/faa6131e9d392a67;1918b85d1b135bf8da77dc1099e23dc4/9dbcec4426a18a38;aedc63860da2b698282a7f23485e9d6f/9038b3154a0708cf	2026-07-06T23:50:32.879Z..2026-07-06T23:47:32.851Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=4	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
residual_469_true_hung_runtime_probe_timeout	ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:47:00Z..23:53:00Z	963be51a9f5273808ebe86fa5e9aea2c/35304299e804d39f;ba2648dc6aa4a124d06730cc9ca8d24f/581e75dcfe902aeb;459d1994302806bac00bfda5985c8d53/ea4c02121da9ff0b;7943f77e39d3c451f202dfe5886ca9fb/b6d6ae97428852db;bc1e2dcff03e9644cccfbbee71a1f03f/104a98f8e9e0cb20;6a4bc54434a5e3a15f290c7b6f097023/79ec680ee4ee31fb	2026-07-06T23:51:22.165Z..2026-07-06T23:48:04.54Z	server.agent.stale_activity.busy_preserved	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|previous=working|repair=probe_timeout_busy_preserved|row_count=6	old=working; new=still working/probe-timeout stock until daemon liveness-vs-activity fix; classify as #469 residual, not flip regression	#469	post-flip L4 residual set, all 39 preserve rows / 13 agents
